vendor,owner,department,annual_spend,renewal_date,notice_window_days,auto_renew,contract_term_years,status,last_negotiated,notes
Salesforce CRM,sarah@example.com,Sales,182000,2026-06-30,60,true,3,action-required,2023-07-01,Enterprise edition 45 seats; 60-day window — ACTION REQUIRED
Datadog,ops@example.com,Engineering,96000,2026-07-15,30,true,1,active,2025-07-15,Usage up 20% YoY; Prometheus eval pending
GitHub Enterprise,ops@example.com,Engineering,48000,2026-09-01,30,false,1,active,2025-09-01,240 seats; 80% utilized
Okta,it@example.com,IT,72000,2026-06-15,45,true,2,action-required,2024-06-15,380 seats; under 45-day window — ACTION REQUIRED
Slack,it@example.com,IT,54000,2026-08-01,30,true,1,active,2025-08-01,Unlimited plan; Figma collab add-on included
Notion,ops@example.com,Operations,18000,2026-11-15,30,false,1,active,2025-11-15,Team plan 60 seats; 40 active (Okta)
Figma,design@example.com,Product,36000,2026-07-01,30,true,1,active,2025-07-01,Professional 12 seats; all active
Zoom,it@example.com,IT,24000,2026-10-01,30,true,1,active,2025-10-01,Business 100 seats
Guru,cs@example.com,Customer Success,28000,2026-06-01,30,false,1,under-review,2025-06-01,Knowledge base; CS team uses daily; renewal under review
Intercom,cs@example.com,Customer Success,84000,2026-12-01,60,true,1,active,2025-12-01,Engage + Inbox; 22 seats; strong utilization
Lattice,hr@example.com,HR,32000,2026-08-15,30,true,1,active,2025-08-15,Performance & OKRs; 94 seats
Ramp,finance@example.com,Finance,0,2026-10-15,30,false,1,active,2025-10-15,Free tier; considering Ramp Plus at renewal
HubSpot Marketing,marketing@example.com,Marketing,42000,2026-09-15,30,true,2,active,2024-09-15,Professional tier; 3 seats; 18 months into 2yr contract
Stripe,finance@example.com,Finance,0,2026-12-31,0,true,0,active,2026-01-01,Processing fees only; no fixed contract
AWS,ops@example.com,Engineering,228000,2026-12-31,0,true,3,active,2024-01-01,Enterprise Discount Program; 3yr commit through Dec 2026
Linear,ops@example.com,Engineering,14400,2026-07-20,14,false,1,active,2025-07-20,50 seats; all active
Drata,compliance@example.com,Security,48000,2026-10-30,30,true,1,active,2025-10-30,SOC2 compliance automation
Brex,finance@example.com,Finance,0,2027-01-01,30,false,1,active,2026-01-01,Corporate cards; no annual fee
