name,date_pattern,type,best_place,why,visited
New Year's Day,Jan 1,Federal,"New Orleans, LA",Sugar Bowl + Bourbon Street; the South's NYE is something else,false
Mardi Gras,Tue before Ash Wed (Feb-Mar),Cultural,"New Orleans, LA + Mobile, AL","NOLA = the party; Mobile = the original (1703) and family-friendly",false
Valentine's Day,Feb 14,Cultural,"Loveland, CO",Town stamps and re-mails Valentine's mail; literal Cupid town,false
Presidents' Day,3rd Mon of Feb,Federal,"Mount Vernon, VA",Wreath ceremony at Washington's tomb,false
St. Patrick's Day,Mar 17,Cultural,"Chicago, IL or Savannah, GA","Chicago dyes the river; Savannah is 2nd-largest US celebration",false
Cherry Blossom Peak,Late Mar - early Apr,Natural/Festival,"Washington, DC",Tidal Basin peak bloom + Cherry Blossom Festival,false
Easter,Variable Mar-Apr,Cultural,"Charleston, SC","Historic district sunrise services + Civil War churches",false
Patriots' Day,3rd Mon of Apr,Regional (MA, ME),"Boston, MA",Boston Marathon + Red Sox 11am game + Lexington reenactment,false
Cinco de Mayo,May 5,Cultural,"Los Angeles, CA",Bigger than in Mexico; original LA roots,false
Kentucky Derby,1st Sat of May,Cultural/Sports,"Louisville, KY","Most exciting two minutes in sports + week-long city party",false
Mother's Day,2nd Sun of May,Cultural,"Grafton, WV","The actual birthplace — first Mother's Day service in 1908",false
Memorial Day,Last Mon of May,Federal,"Arlington, VA","Flags-In at Arlington Cemetery; the canonical observance",false
Indy 500,Memorial Day weekend,Cultural/Sports,"Indianapolis, IN","300000 fans + milk + the bricks",false
Juneteenth,Jun 19,Federal,"Galveston, TX",Where Union troops announced emancipation in 1865; the origin,false
Father's Day,3rd Sun of Jun,Cultural,"Spokane, WA",Where Father's Day was first proposed (1909); local heritage festivals,false
Independence Day,Jul 4,Federal,"Bristol, RI","Oldest 4th of July parade in America (since 1785)",false
Pioneer Day,Jul 24,Regional (UT),"Salt Lake City, UT","Utah's biggest holiday; parade is bigger than the 4th in many towns",false
Labor Day,1st Mon of Sep,Federal,"Chicago, IL",Jazz Festival + Grant Park,false
Patriot Day (9/11),Sep 11,Memorial,"New York, NY","Tribute in Light at the World Trade Center site",false
Columbus Day / Indigenous Peoples' Day,2nd Mon of Oct,Federal,"Denver, CO or Berkeley, CA",The two cities that pioneered the Indigenous Peoples' Day shift,false
Albuquerque Balloon Fiesta,First 9 days of Oct,Festival,"Albuquerque, NM",600+ hot-air balloons; mass ascension at dawn,false
Halloween,Oct 31,Cultural,"Salem, MA",Witch trial city leans all the way in; whole month of events,false
Día de los Muertos,Nov 1-2,Cultural,"San Antonio, TX",One of the most authentic celebrations outside Mexico,false
Veterans Day,Nov 11,Federal,"New York, NY","Largest Veterans Day parade in America (since 1919)",false
Thanksgiving,4th Thu of Nov,Federal,"Plymouth, MA","Actual original site + reenactment villages + Plimoth Patuxet Museums",false
Macy's Thanksgiving Day Parade,Thanksgiving morning,Cultural,"New York, NY",The parade itself; 3.5 million spectators,false
Black Friday,Day after Thanksgiving,Cultural,"Stay home",Or visit Disneyland; counter-program with a national park,false
Hanukkah,Variable Nov-Dec (8 nights),Cultural,"New York, NY","Brooklyn Hanukkah events + Manhattan menorah lightings",false
Christmas,Dec 25,Federal,"Bethlehem, PA","Christmas City — Moravian community since 1741",false
Kwanzaa,Dec 26 - Jan 1,Cultural,"Atlanta, GA","Big communal celebrations + cultural events",false
New Year's Eve,Dec 31,Cultural,"New York, NY (Times Square) or Key West, FL (drag-queen drop) or Pittsburgh, PA (fireworks)",Three different vibes for the same night,false
