week,metric,area,value,prior_week,four_weeks_ago,mean_30d,stddev_30d,unit,source_table
2026-W21,arr,revenue,4820000,4751000,4480000,4630000,142000,usd,fct_subscriptions
2026-W21,mrr,revenue,401667,395917,373333,385833,11833,usd,fct_subscriptions
2026-W21,expansion_mrr,revenue,48200,39100,31200,37800,6200,usd,fct_subscriptions
2026-W21,new_signups,growth,1847,1612,1490,1580,148,count,fct_signups
2026-W21,trial_starts,growth,623,541,498,528,52,count,fct_trials
2026-W21,activation_rate,growth,0.613,0.578,0.541,0.564,0.028,rate,fct_activation_events
2026-W21,dau,engagement,31240,28870,26100,27920,2140,count,fct_daily_active
2026-W21,wau,engagement,74380,71200,65800,69400,3800,count,fct_weekly_active
2026-W21,feature_adoption,engagement,0.442,0.419,0.381,0.408,0.031,rate,fct_feature_usage
2026-W21,nrr,retention,1.142,1.138,1.121,1.131,0.009,rate,fct_subscriptions
2026-W21,churn_rate,retention,0.021,0.024,0.028,0.025,0.003,rate,fct_subscriptions
2026-W21,logo_retention,retention,0.978,0.976,0.971,0.974,0.004,rate,fct_accounts
2026-W20,arr,revenue,4751000,4690000,4430000,4580000,138000,usd,fct_subscriptions
2026-W20,mrr,revenue,395917,390833,369167,381667,11500,usd,fct_subscriptions
2026-W20,expansion_mrr,revenue,39100,34800,29400,34200,5800,usd,fct_subscriptions
2026-W20,new_signups,growth,1612,1534,1442,1548,142,count,fct_signups
2026-W20,trial_starts,growth,541,512,480,508,49,count,fct_trials
2026-W20,activation_rate,growth,0.578,0.562,0.531,0.554,0.027,rate,fct_activation_events
2026-W20,dau,engagement,28870,27400,25200,26800,2020,count,fct_daily_active
2026-W20,wau,engagement,71200,69800,63400,67800,3640,count,fct_weekly_active
2026-W20,feature_adoption,engagement,0.419,0.401,0.368,0.393,0.030,rate,fct_feature_usage
2026-W20,nrr,retention,1.138,1.132,1.118,1.128,0.009,rate,fct_subscriptions
2026-W20,churn_rate,retention,0.024,0.026,0.030,0.027,0.003,rate,fct_subscriptions
2026-W20,logo_retention,retention,0.976,0.974,0.969,0.972,0.004,rate,fct_accounts
