milestone,domain,typical_age_weeks_low,typical_age_weeks_high,achieved_date,age_weeks_at_achievement,photo_path,notes
Lifts head briefly during tummy time,motor,4,6,,,,
Tracks objects with eyes,cognitive,4,8,,,,
Responds to sounds,sensory,0,4,,,,present from birth — startles to loud sounds
Social smile,social,6,8,,,,the first real intentional smile
Makes cooing sounds,language,6,8,,,,vowel-like sounds
Brings hands to mouth,motor,8,12,,,,
Holds head steady when held upright,motor,10,12,,,,
Pushes up on forearms during tummy time,motor,10,12,,,,
Recognizes parent voices,social,4,8,,,,turns or calms to familiar voice
Begins reaching at objects,motor,10,14,,,,often misses — that's expected
