stage,section,estimate_hours,items_done,items_total,status,updated
1,01-math-prerequisites,4,0,0,not-started,2026-04-24
1,01-linear-algebra,2,0,9,not-started,2026-04-24
1,01-calculus,1,0,6,not-started,2026-04-24
1,01-probability,1,0,5,not-started,2026-04-24
2,02-intuition,3,0,5,not-started,2026-04-24
3,03-academic-theory,2,0,5,not-started,2026-04-24
4,04-hands-on,17,0,0,not-started,2026-04-24
4,04-01-micrograd,2.5,0,7,not-started,2026-04-24
4,04-02-makemore-bigram,2,0,6,not-started,2026-04-24
4,04-03-trigram-exercise,1,0,5,not-started,2026-04-24
4,04-04-makemore-mlp,1,0,6,not-started,2026-04-24
4,04-05-mlp-tuning,0.5,0,5,not-started,2026-04-24
4,04-06-activations-batchnorm,2,0,6,not-started,2026-04-24
4,04-07-backprop-ninja,2.5,0,5,not-started,2026-04-24
4,04-08-wavenet,1,0,5,not-started,2026-04-24
4,04-09-build-gpt,2,0,7,not-started,2026-04-24
4,04-10-gpt-addition,3,0,6,not-started,2026-04-24
4,04-11-gpt-tokenizer,2,0,6,not-started,2026-04-24
5,05-research-paper,1,0,6,not-started,2026-04-24
