milestone,category,due_date,owner,status,notes
Set the budget,planning,,both,not_started,
Pick the date,planning,,both,not_started,
Book the venue,vendor,,both,not_started,
Book the photographer,vendor,,both,not_started,
Book the officiant,vendor,,both,not_started,
Build the guest list (full),planning,,both,not_started,
Book the caterer,vendor,,both,not_started,
Book the band/DJ,vendor,,both,not_started,
Book the florist,vendor,,both,not_started,
Save-the-dates designed and sent,communication,,both,not_started,
Bride: dress shopping,attire,,bride,not_started,
Groom: suit/tux shopping,attire,,groom,not_started,
Book hair + makeup,vendor,,both,not_started,
Book cake/dessert,vendor,,both,not_started,
Book transportation,vendor,,both,not_started,
Hotel block for guests,logistics,,both,not_started,
Wedding website live,communication,,both,not_started,
Order invitations,communication,,both,not_started,
Send invitations,communication,,both,not_started,
Finalize ceremony,planning,,both,not_started,
Book honeymoon,planning,,both,not_started,
Start vow drafts,planning,,both,not_started,
Marriage license research,legal,,both,not_started,
Final dress fitting,attire,,bride,not_started,
Order rings,attire,,both,not_started,
Final menu tasting,vendor,,both,not_started,
Collect RSVPs,communication,,both,not_started,
Final headcount to vendors,vendor,,both,not_started,
Seating chart,planning,,both,not_started,
Day-of timeline finalized,planning,,both,not_started,
Vendor tip envelopes prepped,logistics,,both,not_started,
Obtain marriage license,legal,,both,not_started,
Finalize vows,planning,,both,not_started,
Coordinate speeches,planning,,both,not_started,
Day-of emergency kit packed,logistics,,both,not_started,
Final headcount confirmation,vendor,,both,not_started,
Schedule rehearsal,planning,,both,not_started,
Hair + makeup trials,vendor,,bride,not_started,
Pack for wedding + honeymoon,logistics,,both,not_started,
Wedding party briefing,communication,,both,not_started,
Pay vendor balances,vendor,,both,not_started,
