contract_id,contract_name,counterparty,obligation,due_date,cadence,responsible_party,status
CI-2024-031,Atlas Logistics MSA,Atlas Logistics GmbH,Monthly service report,2026-05-31,Monthly,Atlas Logistics,Open
CI-2024-031,Atlas Logistics MSA,Atlas Logistics GmbH,Renewal decision,2026-11-02,One-time,Sarah Chen,Open
CI-2024-031,Atlas Logistics MSA,Atlas Logistics GmbH,Annual sub-processor audit,2027-02-01,Annual,Acme IT/Legal,Open
CI-2024-031,Atlas Logistics MSA,Atlas Logistics GmbH,Price review,2027-01-15,One-time,Finance,Open
CI-2023-018,Meridian SaaS Subscription,Meridian Analytics Inc,Quarterly usage report submission,2026-06-30,Quarterly,Acme Finance,Open
CI-2023-018,Meridian SaaS Subscription,Meridian Analytics Inc,Security questionnaire renewal,2026-07-01,Annual,Acme IT,Open
CI-2024-055,Northgate Data Processing Agreement,Northgate AI Ltd,DPIA review,2026-06-15,Annual,Acme Legal/Privacy,Open
CI-2024-055,Northgate Data Processing Agreement,Northgate AI Ltd,Sub-processor list confirmation,2026-05-30,Bi-annual,Northgate AI Ltd,Overdue
CI-2022-007,Pemberton Office Lease,Pemberton Properties GmbH,Rent escalation notice review,2026-06-01,Annual,Acme Finance,Open
CI-2022-007,Pemberton Office Lease,Pemberton Properties GmbH,Renewal decision (non-renewal notice),2026-08-01,One-time,Sarah Chen,Open
CI-2025-011,Veritas Insurance Policy,Veritas Commercial Insurance,Annual premium review,2026-07-15,Annual,Acme Finance,Open
CI-2025-011,Veritas Insurance Policy,Veritas Commercial Insurance,Policy renewal confirmation,2026-09-01,Annual,Acme Finance,Open
