ID,Company,Role,Status,Score,Discovered,Applied,Last Update,Source,Portal Type,Contact,Salary Range,Block A,Block B,Block C,Block D,Block E,Block F,Notes
1,"Anthropic","PM, Claude API",Interview,4.6,"2026-03-20","2026-03-22","2026-04-10",Referral,Ashby,"Elena Torres (PM Lead)","EUR 160-200K",4.8,4.7,4.5,4.3,4.6,4.7,"2nd round panel scheduled Apr 16. Dream role."
2,"Mistral","Senior PM, Platform",Screen,4.3,"2026-03-25","2026-03-28","2026-04-08",Career Page,Greenhouse,,"EUR 150-185K",4.5,4.2,4.4,4.0,4.3,4.4,"Technical screen completed. Waiting on next round."
3,"Datadog","PM, Observability",Applied,4.1,"2026-04-01","2026-04-03","2026-04-03",LinkedIn,Greenhouse,,"EUR 145-180K",4.2,4.0,4.3,4.0,4.1,4.0,"Applied with tailored CV. No response yet."
4,"Vercel","Senior PM, DX",Applied,4.4,"2026-04-02","2026-04-05","2026-04-05",Career Page,Greenhouse,,"EUR 155-190K",4.5,4.6,4.3,4.2,4.4,4.4,"Strong DX match. Awaiting recruiter contact."
5,"Linear","Product Lead",Evaluated,3.93,"2026-04-08","","2026-04-12",Portal Scan,Ashby,,"EUR 140-175K",4.0,3.8,4.2,3.5,4.3,4.0,"Evaluator 6-block: 3.93. Worth applying if pipeline thin. VERIFY: is Product Lead a mgmt role? Comp ceiling = HF offer. See evaluations/linear-product-lead.md"
6,"Supabase","PM, Developer Tools",Evaluated,3.78,"2026-04-09","","2026-04-12",Portal Scan,Ashby,,"EUR 130-165K",3.5,4.5,3.2,3.0,4.2,4.0,"Evaluator 6-block: 3.78. Best CV match (81%). Lowest comp in pipeline. Under-leveled risk. Backup role. See evaluations/supabase-pm-developer-tools.md"
7,"n8n","Head of Product",Interview,4.5,"2026-03-18","2026-03-20","2026-04-12",Referral,Career Page,"Max Weber (CTO)","EUR 160-200K",4.6,4.3,4.8,4.4,4.5,4.4,"Onsite done Apr 9. FOLLOW-UP OVERDUE (3 days). Send thank-you to Max Weber today. Do not let this go cold."
8,"Retool","Senior PM, Platform",Ghosted,3.8,"2026-03-30","2026-04-02","2026-04-12",LinkedIn,Lever,,"EUR 150-185K",4.0,3.8,3.9,3.5,3.8,3.8,"10 days no response. Below threshold (3.8). Marked Ghosted by Conductor. Lesson: respect score floor."
9,"Stripe","PM, Billing API",Rejected,4.2,"2026-03-15","2026-03-18","2026-04-05",Referral,Career Page,"Carlos Mendez (Eng)","EUR 165-200K",4.3,4.2,4.3,4.0,4.1,4.3,"Rejected at final round. Feedback: wanted more payments domain."
10,"ElevenLabs","PM, API Platform",Ready to Apply,4.25,"2026-04-10","","2026-04-12",Portal Scan,Ashby,,"EUR 140-180K",4.3,4.4,3.8,4.0,4.7,4.3,"Evaluator 6-block: 4.25. STRONG APPLY. Best new-role match. SDK+TTFAC stories perfect fit. Use HF offer as floor. See evaluations/elevenlabs-pm-api-platform.md"
11,"Hugging Face","Senior PM, Hub",Offer,4.7,"2026-03-12","2026-03-15","2026-04-11",Career Page,Greenhouse,"Sophie Blanc (VP Product)","EUR 155-190K",4.8,4.7,4.6,4.5,4.7,4.8,"Offer: EUR 175K + equity. Deciding by Apr 18."
12,"dbt Labs","PM, Core Platform",Ghosted,3.9,"2026-03-10","2026-03-12","2026-03-12",LinkedIn,Greenhouse,,"EUR 140-175K",4.0,3.9,4.0,3.5,3.8,4.2,"No response after 4 weeks. Withdrawn."
13,"Weights & Biases","PM, ML Ops",Screen,4.2,"2026-03-28","2026-04-01","2026-04-07",Career Page,Ashby,"Recruiter","EUR 145-180K",4.3,4.1,4.2,4.0,4.2,4.4,"Phone screen went well. Awaiting onsite schedule."
14,"Notion","PM, API Platform",Applied,4.0,"2026-04-05","2026-04-07","2026-04-07",Referral,Greenhouse,"Dana Kim (PM)","EUR 150-185K",4.2,4.0,4.0,3.8,4.0,4.0,"Referral submitted. Waiting for recruiter."
15,"Neon","Lead PM, Developer Experience",Discovered,,"2026-04-12","","2026-04-13","Portal Scan","Ashby",,"EUR 130-165K",,,,,,,"Serverless Postgres. LOCATION VERIFIED: SF/NYC on-site only (confirmed Apr 13 scan). Fails location criteria (Remote-first or Berlin). Deprioritize unless policy changes."
16,"Anthropic","PM, Claude Code",Discovered,,"2026-04-12","","2026-04-12","Portal Scan","Greenhouse",,"EUR 160-200K",,,,,,,"HIGH PRIORITY FLAG. Dev tools PM in Claude ecosystem. Already interviewing at Anthropic (ID 1) — confirm multi-role application policy before actioning."
17,"Anthropic","PM, API Growth",Discovered,,"2026-04-12","","2026-04-12","Portal Scan","Greenhouse",,"EUR 160-200K",,,,,,,"API platform + growth angle. Same-company caveat as ID 16. Strong profile fit. Evaluate once ID 16 multi-role policy confirmed."
18,"Linear","Product Manager",Discovered,,"2026-04-13","","2026-04-13","Portal Scan","Ashby",,"EUR 140-175K",,,,,,,"Europe, Remote. Distinct from Product Lead (ID 5). IC PM role — lower seniority risk than Lead title. Strong PLG dev tools company. High priority."
19,"Cohere","PM, Product Management",Discovered,,"2026-04-13","","2026-04-13","Portal Scan","Ashby",,"EUR 140-175K",,,,,,,"Enterprise AI (RAG/search). Multi-location: London, SF, Toronto, NYC, Montreal, Paris. Verify exact title and level — listing says 'Product Management & Program Management'. Medium priority."
