id,title,author,status,started,finished,rating,genre,pages,thesis,remember,changed
b01,The Beginning of Infinity,David Deutsch,reading,2026-03-04,,,,460,,,
b02,Working Backwards,Bryar & Carr,reading,2026-04-01,,,business,300,,,
b03,The Anxious Generation,Jonathan Haidt,reading,2026-03-28,,,sociology,400,,,
b04,Same as Ever,Morgan Housel,finished,2026-02-10,2026-03-02,5,essays,240,"Most of life's important truths don't change.","Calibrate to the things that don't change — fear, greed, attention.","I now ask of any prediction: what would it look like in a world that hasn't fundamentally changed?"
b05,The Innovator's Solution,Christensen & Raynor,finished,2026-01-15,2026-02-08,4,business,320,"Disruption happens from below; incumbents serve their best customers right off the cliff.","The 'good management' that protects Q4 is what kills companies on a 10-year horizon.","Reframed how I read every product roadmap — what is being defended vs what's being built."
b06,A Pattern Language,Christopher Alexander,reading,2025-11-20,,,architecture,1200,,,
b07,Bird by Bird,Anne Lamott,finished,2026-02-25,2026-03-15,5,memoir,240,"Write shitty first drafts. Show up every day. Bird by bird means one small thing at a time.","'Bird by bird, buddy. Just take it bird by bird.' — her father's line on how to write a school paper about birds.","I stopped trying to write 'the chapter' and started writing the next paragraph."
b08,The Power of Habit,Charles Duhigg,finished,2026-01-02,2026-01-12,3,psychology,400,"Cue → routine → reward, the loop. Identify it to interrupt or design it.","The keystone-habit idea — small habits that pull others up with them.","Rebuilt my morning routine around one keystone (sunlight in the first 30 min)."
b09,Kitchen Confidential,Anthony Bourdain,tbr,,,,memoir,300,,,
b10,Demon Copperhead,Barbara Kingsolver,tbr,,,,fiction,560,,,
b11,How to Take Smart Notes,Sönke Ahrens,finished,2026-03-08,2026-03-18,4,nonfiction,180,"The Zettelkasten method: every note is its own atomic idea, linked to others, written in your own words.","Notes that simply restate aren't notes — they're filing.","I rewrote my notes vault to enforce 'one idea per note' and the writing got better immediately."
b12,Stoner,John Williams,tbr,,,,fiction,288,,,
b13,The Three-Body Problem,Liu Cixin,finished,2025-12-10,2026-01-01,5,scifi,400,"Civilizations are not static — and not necessarily friendly. The Dark Forest is a chilling but coherent answer to Fermi.","The chilling line about radio silence being the only safe strategy.","Made me less optimistic about cosmic optimism."
b14,Project Hail Mary,Andy Weir,finished,2025-11-15,2025-12-05,5,scifi,476,"Friendship can transcend biology, language, and even species — if both parties are problem-solvers in good faith.","Rocky.","Reminded me how rare a book is that makes you feel pure delight cover-to-cover."
b15,Breath,James Nestor,finished,2025-10-20,2025-11-08,4,health,304,"How you breathe shapes your physiology more than nearly any other lever.","Mouth-tape your 1-year experiment with mouth tape — sleep got measurably better.","I started nasal breathing during workouts and it changed my zone-2 capacity."
b16,The Creative Act,Rick Rubin,finished,2025-09-15,2025-10-12,4,creativity,400,"Make things to find out what you think. The work is the antenna.","'Do not seek to be right. Seek to be true.'","Creative blocks usually aren't blocks — they're protections from being seen."
b17,Tomorrow and Tomorrow and Tomorrow,Gabrielle Zevin,finished,2025-08-20,2025-09-10,4,fiction,400,"A novel about love, work, and games that's actually about how creative collaboration breaks people down and remakes them.","The phrase 'tomorrow and tomorrow and tomorrow' as a meditation on work that never quite finishes.","Made me less guarded about how much my work and my closest collaborations bleed into each other."
b18,Discipline Equals Freedom,Jocko Willink,abandoned,2025-08-10,,2,self-help,200,,,
b19,Talking to Strangers,Malcolm Gladwell,tbr,,,,sociology,386,,,
b20,The Coddling of the American Mind,Lukianoff & Haidt,tbr,,,,sociology,300,,,
b21,The Algebra of Happiness,Scott Galloway,tbr,,,,memoir,224,,,
b22,Range,David Epstein,finished,2025-07-15,2025-08-05,4,nonfiction,352,"Generalists outperform specialists in 'wicked' (slow-feedback) domains.","The Tiger vs Federer parable — sampling and switching aren't bugs, they're the path.","I stopped feeling guilty about reading widely instead of deeply in one field."
b23,Atomic Habits,James Clear,finished,2025-06-20,2025-07-02,3,self-help,320,"Small consistent changes compound. Identity-based habits beat outcome-based ones.","'You don't rise to the level of your goals; you fall to the level of your systems.'","Switched my habit framing from 'I want to run' to 'I am a runner.'"
b24,Thinking in Systems,Donella Meadows,finished,2025-05-10,2025-06-15,5,nonfiction,240,"Systems thinking: feedback loops, leverage points, and why fixing the symptom moves the problem elsewhere.","The 12 leverage points hierarchy — the highest leverage is changing the goals of the system, not the parameters.","I now look for the goal of any system before trying to optimize within it."
b25,Recursion,Blake Crouch,finished,2025-04-22,2025-05-04,4,scifi,336,"Memory makes reality. Pull on that thread and the universe unravels.","The line about how grief is the price for love and you wouldn't actually want to undo it.","More aware of how a single intense memory can color years of perception afterward."
